node_id,name,frequency,in_degree,out_degree
659,ENSG00000100416,0.308617,96,10
660,ENSG00000100417,0.302605,34,0
661,ENSG00000100418,0.234469,3,5
662,ENSG00000100422,0.250501,22,15
663,ENSG00000100426,0.11022,0,73
664,ENSG00000100429,0.206413,35,29
665,ENSG00000100439,0.278557,14,0
666,ENSG00000100442,0.134269,0,57
667,ENSG00000100462,0.198397,5,16
668,ENSG00000100478,0.200401,0,29
669,ENSG00000100485,0.272545,114,7
670,ENSG00000100522,0.124248,0,19
671,ENSG00000100567,0.104208,0,39
672,ENSG00000100568,0.128257,0,4
673,ENSG00000100577,0.242485,52,14
674,ENSG00000100600,0.196393,0,0
675,ENSG00000100605,0.194389,0,5
676,ENSG00000100644,0.180361,32,16
677,ENSG00000100647,0.11022,0,6
678,ENSG00000100664,0.108216,0,50
679,ENSG00000100722,0.152305,36,18
680,ENSG00000100726,0.41483,108,2
681,ENSG00000100796,0.122244,15,65
682,ENSG00000100804,0.162325,18,37
683,ENSG00000100842,0.194389,9,22
684,ENSG00000100852,0.132265,26,45
685,ENSG00000100908,0.326653,96,10
686,ENSG00000100911,0.248497,36,1
687,ENSG00000100918,0.258517,15,7
688,ENSG00000100926,0.122244,0,9
689,ENSG00000100934,0.182365,39,40
690,ENSG00000100949,0.376754,65,2
691,ENSG00000100997,0.288577,16,0
692,ENSG00000101000,0.356713,27,1
693,ENSG00000101004,0.136273,1,37
694,ENSG00000101019,0.116232,0,19
